FBpp_ID	Species	muscle_dietM	whole_body_dietM	muscle_dietP	whole_body_dietP
FBpp0077740	Dmel	0.234901030466432	0.26553199675332	0.233906740785583	0.265660231994664
FBpp0077739	Dmel	0.246453674550844	0.249795891458216	0.309305251002184	0.194445182988755
FBpp0077724	Dmel	0.237495200759164	0.254457487831393	0.22586990154592	0.282177409863523
FBpp0077738	Dmel	0.14599914000264	0.377522538944226	0.11553088588524	0.360947435167894
FBpp0077726	Dmel	0.26151957453259	0.251397223966152	0.241381897826039	0.24570130367522
FBpp0077736	Dmel	0.278386169306807	0.205194232153369	0.297918216310209	0.218501382229615
FBpp0077727	Dmel	0.215776586439454	0.299585629994997	0.200806533272553	0.283831250292997
FBpp0077735	Dmel	0.233248932570576	0.279796227608142	0.212551969878739	0.274402869942544
FBpp0077728	Dmel	0.2360105681335	0.267805201365772	0.227884813478384	0.268299417022344
FBpp0077734	Dmel	0.273281215244806	0.212544318786986	0.260796830224328	0.25337763574388
FBpp0077729	Dmel	0.245700711732837	0.244573078181693	0.243863958661851	0.265862251423619
FBpp0312235	Dmel	0.0853943224952084	0.425163837814595	0.0818849935618972	0.4075568461283
FBpp0077730	Dmel	0.0324038630719365	0.43068967317662	0.0366785533862641	0.500227910365179
FBpp0309910	Dmel	0	0.493209790056172	0.022054987861828	0.484735222082
FBpp0077731	Dmel	0.263418766498826	0.245424922683715	0.239256915305287	0.251899395512172
FBpp0300624	Dmel	0.345508045106159	0.319384983760316	0.296913040602471	0.038193930531054
FBpp0077663	Dmel	0.0760221894115267	0.568971813559996	0.209817865420568	0.14518813160791
FBpp0077664	Dmel	0.176971809721569	0.286337444799556	0.128578582354569	0.408112163124306
FBpp0077708	Dmel	0.202068018635572	0.293090930714024	0.204449093278722	0.300391957371683
FBpp0077665	Dmel	0.0079122350242775	0.517730574637386	0.00892874169611549	0.465428448642221
FBpp0290531	Dmel	0.0941595122109543	0.417764550118478	0.0799594379308227	0.408116499739745
FBpp0077666	Dmel	0.184359345203722	0.354898064527546	0.121370494142966	0.339372096125766
FBpp0077668	Dmel	0	0.552658762159897	0.105171480298198	0.342169757541905
FBpp0077669	Dmel	0	0.504711091748878	0.1302095492246	0.365079359026522
FBpp0077670	Dmel	0.0921214229628854	0.414769577073931	0.176744374456376	0.316364625506808
FBpp0077671	Dmel	0.166552300185108	0.474487060926415	0	0.358960638888477
FBpp0077672	Dmel	0.0035772790557202	0.625405969076518	0.00585865171844427	0.365158100149317
FBpp0077706	Dmel	0.0606646921519084	0.464338880932899	0.0369037096622405	0.438092717252952
FBpp0077673	Dmel	0.219141260738804	0.262772667974132	0.223641858040121	0.294444213246943
FBpp0077674	Dmel	0.259137528216461	0.257976726242172	0.23648513960147	0.246400605939898
FBpp0077705	Dmel	0.226047317981211	0.274089017963829	0.227623357010886	0.272240307044073
FBpp0077675	Dmel	0.238860074133051	0.284373734304022	0.200223273979528	0.276542917583399
FBpp0077704	Dmel	0.0141014871499882	0.443365648845724	0.035436133257105	0.507096730747183
FBpp0077703	Dmel	0.269730181467707	0.237178003942632	0.251671368827064	0.241420445762596
FBpp0077676	Dmel	0.240218762340197	0.267332193832439	0.219307183098399	0.273141860728965
FBpp0077677	Dmel	0.245304948318107	0.269928785971885	0.222273464623169	0.262492801086838
FBpp0077702	Dmel	0.271128150806559	0.237296429715637	0.249760027982483	0.241815391495322
FBpp0077679	Dmel	0.214107145878861	0.28328798292991	0.217370854546168	0.285234016645061
FBpp0291330	Dmel	0.262496223296882	0.24163227954015	0.245827270391677	0.250044226771291
FBpp0077698	Dmel	0.232487646400926	0.270441706882617	0.226432127663335	0.270638519053122
FBpp0077681	Dmel	0.227045335493236	0.283069641098159	0.218171494958914	0.271713528449692
FBpp0077682	Dmel	0.0273194604864409	0.527687009012486	0.0165182910225416	0.428475239478531
FBpp0077683	Dmel	0.151818300083322	0.391815224342071	0.133591822600465	0.322774652974142
FBpp0077697	Dmel	0.250251508558818	0.262831377653798	0.233362524338717	0.253554589448667
FBpp0077694	Dmel	0.242919949149546	0.259730028881424	0.233288191540821	0.264061830428208
FBpp0077687	Dmel	0.251277751084966	0.25678079446856	0.236952902448092	0.254988551998382
FBpp0304490	Dmel	0.000541731966406776	0.538472892414365	0.000883172424480955	0.460102203194747
FBpp0077688	Dmel	0.0692976614276082	0.548412540461015	0.0847411026739682	0.297548695437409
FBpp0077690	Dmel	0.175688978443528	0.33088536294588	0.187196364516584	0.306229294094008
